portfolio,n,mean_resid,mae,rmse,model
BIG HiBM,1067,-0.0017612229349586066,0.01825550239591765,0.025342127752595537,FF3
BIG LoBM,1067,-0.0002731472368506753,0.008336102842276009,0.010979028161825668,FF3
ME1 BM2,1067,0.004843954917258175,0.021999758808516755,0.031436591640296795,FF3
ME1 BM3,1067,-0.0013003634669212247,0.015776499195995504,0.021422119714453264,FF3
ME1 BM4,1067,-0.0008174461464897136,0.012742195084348719,0.01673639747787412,FF3
ME2 BM1,1067,0.0004891038071300238,0.014987905728227013,0.019993211619310336,FF3
ME2 BM2,1067,-0.00023489873993067526,0.011604777832288716,0.015299545889460331,FF3
ME2 BM3,1067,-3.248102758513052e-05,0.011049238837046284,0.015587179105114703,FF3
ME2 BM4,1067,-0.0004622758723442931,0.01039768929706401,0.014133419109066599,FF3
ME2 BM5,1067,-0.0009392792111944597,0.011366777727798056,0.014914367834986975,FF3
ME3 BM1,1067,-0.0012408688843175404,0.013248385108290303,0.016992589374035933,FF3
ME3 BM2,1067,-0.0005405200021642652,0.011618243808078525,0.0157746126262147,FF3
ME3 BM3,1067,-0.0016453646960930433,0.011321830341848972,0.01564288311808656,FF3
ME3 BM4,1067,1.8538771413487858e-05,0.011684382468254081,0.016067221409402272,FF3
ME3 BM5,1067,0.0005321309682227769,0.01377761331196992,0.020426546209301923,FF3
ME4 BM1,1067,-0.0002841226735666878,0.011293057929932055,0.015507720420740856,FF3
ME4 BM2,1067,-0.0003680633532557024,0.011091442424749071,0.01537206718251674,FF3
ME4 BM3,1067,0.00034856984084226427,0.01187146077192381,0.01668713174775792,FF3
ME4 BM4,1067,-0.0004326645706874951,0.013198601310951238,0.01756415878830532,FF3
ME4 BM5,1067,-0.0003991543843520409,0.016868776552073892,0.022331998013291776,FF3
ME5 BM2,1067,-0.00022804228304504058,0.010273111955506547,0.013688911828960534,FF3
ME5 BM3,1067,0.0003094768944422949,0.0123915729066648,0.016507579779340857,FF3
ME5 BM4,1067,0.000498426144109039,0.011506711057256992,0.015252726508688062,FF3
SMALL HiBM,1067,-0.0006853716630150324,0.014266116821206319,0.021708169321126725,FF3
SMALL LoBM,1067,-0.0006717800824358042,0.030341956238489107,0.04392194990933638,FF3
BIG HiBM,1067,-0.001878912055667285,0.018075446864758076,0.024943269414770878,Carhart
BIG LoBM,1067,-0.0002896628411774181,0.008369763143393645,0.010969924156018517,Carhart
ME1 BM2,1067,0.004872351360026111,0.022039198159537778,0.031536564012331486,Carhart
ME1 BM3,1067,-0.0014277469245975837,0.01574666786026205,0.02175941066954509,Carhart
ME1 BM4,1067,-0.0008071335596589828,0.01275622170213888,0.016794830141173556,Carhart
ME2 BM1,1067,0.0004769047192953432,0.015029770067058646,0.020099416339232404,Carhart
ME2 BM2,1067,-0.00026173971799108416,0.011555682399049584,0.015221061874831536,Carhart
ME2 BM3,1067,-5.38727581395026e-06,0.011199579592824527,0.015781190737343475,Carhart
ME2 BM4,1067,-0.0004456335800540826,0.010440082966257213,0.014209693435362181,Carhart
ME2 BM5,1067,-0.0009927058714891386,0.011441849315698673,0.015005479757812456,Carhart
ME3 BM1,1067,-0.0013048693766743954,0.013126457463563898,0.016862503228018508,Carhart
ME3 BM2,1067,-0.0005095889076028325,0.011688204802984905,0.0158662950693365,Carhart
ME3 BM3,1067,-0.0016088372544995001,0.011530462379173033,0.015987708712609953,Carhart
ME3 BM4,1067,-2.5743123862146645e-05,0.011716593554369182,0.016118183260062466,Carhart
ME3 BM5,1067,0.0005087260381103671,0.013878824581882688,0.02038792256164151,Carhart
ME4 BM1,1067,-0.0003023935092086599,0.01130548244818811,0.015536874310114272,Carhart
ME4 BM2,1067,-0.00038446572724045293,0.011101667756535332,0.015382337029361839,Carhart
ME4 BM3,1067,0.0003208442495823211,0.011896575140185614,0.016712586599215668,Carhart
ME4 BM4,1067,-0.0004825621653680565,0.013121225776978827,0.01747787618956239,Carhart
ME4 BM5,1067,-0.0005257705703274434,0.016719419490874268,0.02212837910411319,Carhart
ME5 BM2,1067,-0.00023176277227385174,0.010228600261813492,0.013746552517818979,Carhart
ME5 BM3,1067,0.0002925180644528636,0.012384454508508651,0.016532045042622047,Carhart
ME5 BM4,1067,0.0004784186131781365,0.011459128831831616,0.015224241560436651,Carhart
SMALL HiBM,1067,-0.0007354246637282469,0.014298407553025038,0.021786331858068324,Carhart
SMALL LoBM,1067,-0.000731337763306227,0.029850616676560037,0.0435212013851787,Carhart
